Spectrum,Fraction_Reactant,Fraction_Product
1,1.0,0.0
2,0.9359431695455165,0.06405683045448354
3,0.8768696439010556,0.12313035609894439
4,0.8261311069548342,0.17386889304516576
5,0.7769607970274948,0.2230392029725052
6,0.7265324290092201,0.27346757099078
7,0.6788102558024762,0.3211897441975238
8,0.6355574059128429,0.364442594087157
9,0.5963282409286258,0.4036717590713741
10,0.5564226101823597,0.4435773898176404
11,0.5203907330152049,0.4796092669847952
12,0.48484929504146723,0.5151507049585328
13,0.4522502342933601,0.5477497657066399
14,0.42106360928664627,0.5789363907133537
15,0.391223121715754,0.6087768782842461
16,0.3629098485679898,0.6370901514320103
17,0.3390253619256776,0.6609746380743224
18,0.3161470444083939,0.6838529555916061
19,0.29352344638779154,0.7064765536122084
20,0.2733087964276894,0.7266912035723105
21,0.2535401136990902,0.7464598863009098
22,0.23597109603241892,0.7640289039675809
23,0.21934359832092848,0.7806564016790715
24,0.2043439149386083,0.7956560850613916
25,0.18987195773757476,0.8101280422624252
26,0.1770453390399128,0.8229546609600873
27,0.1652747876408801,0.8347252123591199
28,0.1541682011158647,0.8458317988841353
29,0.14397781872485754,0.8560221812751424
30,0.1347765869228703,0.8652234130771297
31,0.1262458533384215,0.8737541466615785
32,0.11824333512271544,0.8817566648772845
33,0.1114932271072289,0.888506772892771
34,0.10467433505686723,0.8953256649431327
35,0.09897964324172621,0.9010203567582739
36,0.09369765875221896,0.9063023412477811
37,0.08833020675845259,0.9116697932415474
38,0.08371310340794494,0.916286896592055
39,0.07986506870413626,0.9201349312958638
40,0.07572741855402332,0.9242725814459767
41,0.0726198921727968,0.9273801078272033
42,0.06952993286376354,0.9304700671362364
43,0.06640687303940793,0.933593126960592
44,0.06415411783573557,0.9358458821642645
45,0.06156210057877767,0.9384378994212224
46,0.05937503665031225,0.9406249633496877
47,0.057560439702732745,0.9424395602972672
48,0.05579359049256232,0.9442064095074376
49,0.0541286807597252,0.9458713192402748
50,0.05260916102422853,0.9473908389757715
51,0.05130057475805144,0.9486994252419485
52,0.04987965277362123,0.9501203472263787
53,0.04890367881624261,0.9510963211837574
54,0.04804199785223433,0.9519580021477656
55,0.04683513138143195,0.9531648686185681
56,0.04617170033909546,0.9538282996609045
57,0.045287255432485074,0.9547127445675149
58,0.0449372245930816,0.9550627754069184
59,0.04405263679241724,0.9559473632075829
60,0.043418426658711505,0.9565815733412886
61,0.04291282996074556,0.9570871700392545
62,0.04273347356578525,0.9572665264342147
63,0.04211454495387484,0.9578854550461252
64,0.04168079474605228,0.9583192052539478
65,0.0413594904943352,0.9586405095056648
66,0.041092261003011984,0.958907738996988
67,0.04082497339791415,0.9591750266020859
68,0.040522345026882206,0.9594776549731178
69,0.04038854138025921,0.9596114586197407
70,0.04002050873745294,0.9599794912625471
71,0.03988172964579883,0.9601182703542012
72,0.03967769687535687,0.9603223031246432
73,0.03935534921417182,0.9606446507858281
74,0.03940707505727532,0.9605929249427246
75,0.03917935901858558,0.9608206409814145
76,0.03901866250330737,0.9609813374966926
77,0.03886526491655665,0.9611347350834434
78,0.0389530881623696,0.9610469118376305
79,0.0389544426255772,0.9610455573744228
80,0.03877204935310725,0.9612279506468928
81,0.03863332005546622,0.9613666799445337
82,0.03851663611430238,0.9614833638856977
83,0.038345434602441476,0.9616545653975586
84,0.03847307305909011,0.9615269269409099
85,0.038421852054007534,0.9615781479459924
86,0.038405410916642437,0.9615945890833575
87,0.03839030731783178,0.9616096926821682
88,0.03831169891166763,0.9616883010883324
89,0.03824433740345263,0.9617556625965474
90,0.03814316628636161,0.9618568337136383
91,0.038181401509508835,0.9618185984904911
92,0.03803604603846398,0.961963953961536
93,0.03826806262902224,0.9617319373709777
94,0.03805944197395719,0.9619405580260428
95,0.03809271913865261,0.9619072808613474
96,0.03799433548758068,0.9620056645124193
97,0.0380469552584469,0.9619530447415531
98,0.0380357868891589,0.9619642131108411
99,0.038093681724504114,0.961906318275496
100,0.0380914336865096,0.9619085663134903
101,0.03797492383843066,0.9620250761615694
102,0.03810273810884722,0.9618972618911528
103,0.037896924398901605,0.9621030756010983
104,0.037855594692113234,0.9621444053078867
105,0.03792051259867642,0.9620794874013235
106,0.037954347087871584,0.9620456529121284
107,0.038109147121177245,0.9618908528788227
108,0.038065623726394195,0.9619343762736058
109,0.038010480985854106,0.9619895190141459
110,0.03790447212170087,0.9620955278782991
111,0.03807501103320268,0.9619249889667972
112,0.03796290600790418,0.9620370939920958
113,0.038040128755548595,0.9619598712444515
114,0.03808252879011485,0.9619174712098851
115,0.03786995650254549,0.9621300434974545
116,0.038000882292902806,0.9619991177070971
117,0.03797347982186644,0.9620265201781335
118,0.03817195507021486,0.9618280449297851
119,0.03792985589082643,0.9620701441091735
120,0.03801538468506313,0.9619846153149368
121,0.03819174241252833,0.9618082575874717
