Measurement,Timestamp (s)
1,0.063
2,5.235
3,10.407
4,15.547
5,20.688
6,25.828
7,30.985
8,36.125
9,41.313
10,46.453
11,51.594
12,56.735
13,61.875
14,67.047
15,72.188
16,77.328
17,82.46899999999998
18,87.61
19,92.75
20,97.891
21,103.063
22,108.203
23,113.344
24,118.485
25,123.641
26,128.782
27,133.922
28,139.078
29,144.219
30,149.36
31,154.5
32,159.641
33,164.782
34,169.922
35,175.078
36,180.219
37,185.36
38,190.5
39,195.657
40,200.797
41,205.938
42,211.11
43,216.25
44,221.391
45,226.532
46,231.672
47,236.813
48,241.953
49,247.094
50,252.235
51,257.375
52,262.516
53,267.657
54,272.813
55,277.953
56,283.094
57,288.235
58,293.375
59,298.516
60,303.657
61,308.797
62,313.938
63,319.078
64,324.219
65,329.36
66,334.5
67,339.641
68,344.797
69,349.938
70,355.078
71,360.235
72,365.391
73,370.578
